,references_count,citations_count
0,0.0,0.0
1,0.0,0.0
2,,
3,42.0,3.0
4,30.0,9.0
5,32.0,14.0
6,34.0,23.0
7,26.0,1.0
8,0.0,0.0
9,0.0,0.0
10,26.0,16.0
11,,
12,225.0,1.0
13,0.0,0.0
14,,
15,,
16,,
17,0.0,1.0
18,28.0,21.0
19,0.0,0.0
20,0.0,2.0
21,0.0,2.0
22,0.0,0.0
23,,
24,87.0,90.0
25,0.0,1.0
26,0.0,0.0
27,,
28,,
29,,
30,,
31,26.0,11.0
32,6.0,1.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,2.0
39,42.0,50.0
40,,
41,,
42,0.0,1.0
43,18.0,2.0
44,0.0,7.0
45,,
46,0.0,106.0
47,0.0,4.0
48,0.0,1.0
49,0.0,2.0
50,,
51,,
52,,
53,19.0,17.0
54,14.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,13.0
58,0.0,1.0
59,,
60,44.0,72.0
61,0.0,0.0
62,65.0,36.0
63,,
64,0.0,0.0
65,30.0,5.0
66,,
67,0.0,0.0
68,33.0,96.0
69,,
70,0.0,26.0
71,34.0,100.0
72,,
73,32.0,12.0
74,,
75,0.0,1.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,52.0,41.0
80,0.0,0.0
81,0.0,1.0
82,0.0,0.0
83,0.0,0.0
84,24.0,11.0
85,67.0,50.0
86,,
87,,
88,0.0,1.0
89,,
90,0.0,0.0
91,,
92,25.0,3.0
93,0.0,0.0
94,,
95,0.0,0.0
96,,
97,1.0,2.0
98,,
99,,
100,0.0,0.0
101,0.0,0.0
102,0.0,2.0
103,0.0,0.0
104,,
105,0.0,0.0
106,0.0,2.0
107,46.0,0.0
108,,
109,0.0,19.0
110,0.0,0.0
111,,
112,0.0,5.0
113,0.0,0.0
114,,
115,,
116,111.0,27.0
117,,
118,19.0,6.0
119,,
120,64.0,12.0
121,,
122,290.0,38.0
123,,
124,,
125,0.0,3.0
126,0.0,0.0
127,,
128,0.0,15.0
129,,
130,89.0,41.0
131,38.0,11.0
132,0.0,1.0
133,0.0,3.0
134,0.0,0.0
135,,
136,0.0,2.0
137,,
138,18.0,2.0
139,5.0,15.0
140,21.0,17.0
141,51.0,125.0
142,0.0,0.0
143,12.0,22.0
144,46.0,18.0
145,0.0,3.0
146,0.0,3.0
147,0.0,0.0
148,22.0,6.0
149,0.0,0.0
150,,
151,0.0,3.0
152,9.0,6.0
153,88.0,46.0
154,44.0,13.0
155,,
156,,
157,39.0,180.0
158,0.0,2.0
159,,
160,,
161,79.0,23.0
162,0.0,0.0
163,,
164,,
165,0.0,0.0
166,,
167,,
168,,
169,0.0,2.0
170,23.0,0.0
171,1.0,2.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,1.0
176,,
177,1.0,0.0
178,183.0,6.0
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,0.0,0.0
189,0.0,2.0
190,,
191,0.0,0.0
192,,
193,,
194,23.0,0.0
195,0.0,0.0
196,0.0,1.0
197,0.0,0.0
198,,
199,43.0,121.0
200,0.0,32.0
201,1.0,1.0
202,0.0,3.0
203,37.0,127.0
204,,
205,,
206,,
207,26.0,0.0
208,0.0,2.0
209,32.0,117.0
210,,
211,48.0,0.0
212,20.0,14.0
213,0.0,0.0
214,66.0,18.0
215,,
216,,
217,,
218,0.0,3.0
219,27.0,9.0
220,0.0,3.0
221,0.0,0.0
222,0.0,3.0
223,0.0,2.0
224,0.0,0.0
225,,
226,0.0,0.0
227,62.0,8.0
228,,
229,,
230,0.0,5.0
231,0.0,7.0
232,0.0,0.0
233,,
234,24.0,51.0
235,109.0,30.0
236,0.0,0.0
237,,
238,0.0,2.0
239,,
240,,
241,,
242,0.0,0.0
243,51.0,10.0
244,,
245,30.0,12.0
246,44.0,19.0
247,0.0,3.0
248,0.0,0.0
249,30.0,16.0
250,72.0,7.0
251,0.0,0.0
252,20.0,1.0
253,,
254,,
255,0.0,0.0
256,48.0,1.0
257,,
258,34.0,9.0
259,,
260,,
261,,
262,,
263,59.0,2.0
264,0.0,0.0
265,0.0,0.0
266,50.0,4.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,18.0,4.0
271,,
272,15.0,5.0
273,,
274,,
275,0.0,9.0
276,0.0,0.0
277,,
278,0.0,1.0
279,0.0,0.0
280,136.0,4.0
281,52.0,3.0
282,29.0,16.0
283,,
284,0.0,0.0
285,56.0,12.0
286,,
287,0.0,0.0
288,0.0,3.0
289,0.0,2.0
290,30.0,11.0
291,5.0,1.0
292,0.0,3.0
293,15.0,0.0
294,149.0,3.0
295,0.0,0.0
296,,
297,,
298,,
299,89.0,15.0
300,,
301,22.0,1.0
302,,
303,0.0,0.0
304,0.0,0.0
305,0.0,1.0
306,,
307,,
308,,
309,0.0,0.0
310,,
311,,
312,0.0,0.0
313,0.0,0.0
314,,
315,,
316,,
317,,
318,,
319,,
320,0.0,0.0
321,19.0,35.0
322,,
323,,
324,,
325,2.0,8.0
326,0.0,11.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,1.0
331,0.0,0.0
332,0.0,1.0
333,49.0,0.0
334,44.0,1.0
335,0.0,0.0
336,10.0,14.0
337,31.0,1.0
338,123.0,39.0
339,0.0,0.0
340,,
341,30.0,0.0
342,,
343,61.0,12.0
344,20.0,3.0
345,,
346,,
347,46.0,0.0
348,73.0,2.0
349,,
350,27.0,9.0
351,6.0,6.0
352,55.0,0.0
353,69.0,2.0
354,,
355,,
356,,
357,70.0,9.0
358,66.0,5.0
359,,
360,36.0,0.0
361,52.0,0.0
362,0.0,0.0
363,,
364,0.0,0.0
365,96.0,8.0
366,146.0,9.0
367,102.0,5.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,0.0,0.0
372,47.0,5.0
373,,
374,0.0,0.0
375,25.0,0.0
376,3.0,2.0
377,33.0,5.0
378,0.0,1.0
379,0.0,3.0
380,22.0,1.0
381,43.0,1.0
382,53.0,115.0
383,0.0,0.0
384,,
385,0.0,0.0
386,84.0,4.0
387,8.0,1.0
388,0.0,0.0
389,0.0,1.0
390,64.0,8.0
391,0.0,0.0
392,,
393,37.0,5.0
394,,
395,36.0,0.0
396,30.0,12.0
397,40.0,5.0
398,0.0,1.0
399,0.0,0.0
400,,
401,,
402,0.0,1.0
403,0.0,0.0
404,0.0,0.0
405,,
406,0.0,0.0
407,0.0,0.0
408,,
409,40.0,16.0
410,,
411,32.0,15.0
412,,
413,0.0,0.0
414,30.0,1.0
