date_delivered_year,date_sort_year,author_group,citation_title,affiliation_country,affiliation_city,affiliation_organization,corresponding_author_given_name,corresponding_author_surname,corresponding_author_indexed_name,citation_language,source_country,source_publication_year,source_publisher_name,classificationgroup,dbcollection,ref_count,reference,affiliation,coverDate,aggregationType,author,publicationName,citedby_count,title,publisher,subject_area,abstract_language
2024,2024,Unknown,Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,Turkey,Famagusta,Eastern Mediterranean University (EMU) Famagusta,Unknown,Unknown,Hassanpour Khodaei S.,Unknown,Turkey,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Eastern Mediterranean University (EMU) Famagusta', 'affiliation-city': 'Famagusta', 'affiliation-country': 'Turkey'}]",2025-12-01,Journal,Hassanpour Khodaei S.,Molecular Biology Reports,0,Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,Molecular Biology Reports,"Molecular Biology, Genetics",Unknown
2024,2024,Unknown,The role of the mucosal barrier system in maintaining gut symbiosis to prevent intestinal inflammation,Japan,Suita,Graduate School of Medicine,Unknown,Unknown,Okumura R.,Unknown,Japan,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Graduate School of Medicine', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'WPI Immunology Frontier Research Center, Osaka University', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'Osaka University', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}]",2025-12-01,Journal,Okumura R.,Seminars in Immunopathology,0,The role of the mucosal barrier system in maintaining gut symbiosis to prevent intestinal inflammation,Seminars in Immunopathology,"Immunology and Allergy, Immunology",Unknown
2024,2024,Unknown,Fabrication of curcumin-incorporated human amniotic membrane extracellular matrix-derived scaffold to enhance full-thickness wound healing in diabetic rats,Iran,Tehran,SBUMS School of Medicine,Unknown,Unknown,Moharrami Kasmaie F.,Unknown,Iran,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'SBUMS School of Medicine', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",2025-12-01,Journal,Moharrami Kasmaie F.,Histochemistry and Cell Biology,0,Fabrication of curcumin-incorporated human amniotic membrane extracellular matrix-derived scaffold to enhance full-thickness wound healing in diabetic rats,Histochemistry and Cell Biology,"Histology, Cell Biology, Molecular Biology, Medical Laboratory Technology",Unknown
2024,2024,Unknown,Analysis of Alzheimer’s disease associated deleterious non-synonymous single nucleotide polymorphisms and their impacts on protein structure and function by performing in-silico methods,Turkey,Istanbul,University of Health Sciences,Unknown,Unknown,Akcesme B.,Unknown,Turkey,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'University of Health Sciences', 'affiliation-city': 'Istanbul', 'affiliation-country': 'Turkey'}, {'@_fa': 'true', 'affilname': 'International University of Sarajevo', 'affiliation-city': 'Sarajevo', 'affiliation-country': 'Bosnia and Herzegovina'}]",2025-12-01,Journal,Akcesme B.,Neurogenetics,0,Analysis of Alzheimer’s disease associated deleterious non-synonymous single nucleotide polymorphisms and their impacts on protein structure and function by performing in-silico methods,Neurogenetics,"Genetics, Cellular and Molecular Neuroscience, Genetics (clinical)",Unknown
2024,2024,Unknown,A Fully-Printed Wearable Bandage-Based Electrochemical Sensor with pH Correction for Wound Infection Monitoring,Thailand,Hatyai,Prince of Songkla University,Unknown,Unknown,Kaewpradub K.,Unknown,Thailand,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Prince of Songkla University', 'affiliation-city': 'Hatyai', 'affiliation-country': 'Thailand'}]",2025-12-01,Journal,Kaewpradub K.,Nano-Micro Letters,0,A Fully-Printed Wearable Bandage-Based Electrochemical Sensor with pH Correction for Wound Infection Monitoring,Nano-Micro Letters,"Electronic, Optical and Magnetic Materials, Surfaces, Coatings and Films, Electrical and Electronic Engineering",Unknown
2024,2024,Unknown,Causal relationship between circulating plasma lipids and atopic dermatitis risk: potential drug targets and therapeutic strategies,China,Kunming,Kunming Medical University,Unknown,Unknown,He A.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Kunming Medical University', 'affiliation-city': 'Kunming', 'affiliation-country': 'China'}]",2025-12-01,Journal,He A.,Archives of Dermatological Research,0,Causal relationship between circulating plasma lipids and atopic dermatitis risk: potential drug targets and therapeutic strategies,Archives of Dermatological Research,Dermatology,Unknown
2024,2024,Unknown,Cytotoxic activity of silver nanoparticles prepared by eco-friendly synthesis using Lythrum salicaria extract on breast cancer cells,Iran,Tehran,"Islamic Azad University, Central Tehran Branch",Unknown,Unknown,Shandiz S.A.S.,Unknown,Iran,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Islamic Azad University, Central Tehran Branch', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",2025-12-01,Journal,Shandiz S.A.S.,Molecular Biology Reports,0,Cytotoxic activity of silver nanoparticles prepared by eco-friendly synthesis using Lythrum salicaria extract on breast cancer cells,Molecular Biology Reports,"Molecular Biology, Genetics",Unknown
2024,2024,Unknown,Olfactory Dysfunction in Chronic Rhinosinusitis with Nasal Polyps: Effect of Treatment with Emphasis on Biological Therapy,Netherlands,Amsterdam,Universiteit van Amsterdam,Unknown,Unknown,Otten J.J.,Unknown,Netherlands,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Universiteit van Amsterdam', 'affiliation-city': 'Amsterdam', 'affiliation-country': 'Netherlands'}]",2025-12-01,Journal,Otten J.J.,Current Allergy and Asthma Reports,0,Olfactory Dysfunction in Chronic Rhinosinusitis with Nasal Polyps: Effect of Treatment with Emphasis on Biological Therapy,Current Allergy and Asthma Reports,"Immunology, Immunology and Allergy, Pulmonary and Respiratory Medicine",Unknown
2024,2024,Unknown,PD-L1 expression and characterization of its carrier macrophages in placentas with acute and specifically post-SARS-CoV-2 infection,Germany,Augsburg,Universität Augsburg,Unknown,Unknown,Seefried M.C.,Unknown,Germany,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Universität Augsburg', 'affiliation-city': 'Augsburg', 'affiliation-country': 'Germany'}]",2025-12-01,Journal,Seefried M.C.,Histochemistry and Cell Biology,0,PD-L1 expression and characterization of its carrier macrophages in placentas with acute and specifically post-SARS-CoV-2 infection,Histochemistry and Cell Biology,"Histology, Cell Biology, Molecular Biology, Medical Laboratory Technology",Unknown
2024,2024,Unknown,Polycomb protein Bmi1 promotes odontoblast differentiation by accelerating Wnt and BMP signaling pathways,Japan,Ishikari District,Health Sciences University of Hokkaido,Unknown,Unknown,Hosoya A.,Unknown,Japan,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Health Sciences University of Hokkaido', 'affiliation-city': 'Ishikari District', 'affiliation-country': 'Japan'}]",2025-12-01,Journal,Hosoya A.,Histochemistry and Cell Biology,0,Polycomb protein Bmi1 promotes odontoblast differentiation by accelerating Wnt and BMP signaling pathways,Histochemistry and Cell Biology,"Histology, Cell Biology, Molecular Biology, Medical Laboratory Technology",Unknown
